篇名,作者,关键词,摘要,没有引进词表的jieba提取的中药材,引进词表的jieba提取的中药材
川贝雪梨脆片变温压差膨化干燥应用技术,"冯丽琴,阎瑞香,冯丽珍,马雪萍,江常杰","川贝,雪梨脆片,变温压差,膨化干燥,熏蒸","以雪梨为主要原料,配以川贝母、百合、甘草等药典成方药食同源中药熏蒸,强化雪梨产品的食疗功效;在生产过程中利用真空膨化干燥设备,应用变温压差膨化干燥技术,形成了较完善的川贝雪梨脆片变温压差膨化干燥技术工艺.","川贝母, 百合, 甘草, 川贝","川贝母, 百合, 甘草, 川贝"
一起丧宴引致沙门菌食物中毒的微生物学检测分析,"王雅琴,叶菊莲,韦俊超,李月华","沙门菌,食物中毒,检测分析","目的:查找引起本次食物中毒的原因,为该起突发事件的处理提供实验依据.方法:采集引起食物中毒的相关样品共份,依照<食品卫生微生物学检验>GB/T-进行目的菌的分离检测;并对各分离株进行生化反应、血清学分型、药敏试验及PFGE检测;同时采集病人双份血清与分离株进行相应抗体检测.结果:在份病人大便,份病人肛拭,份抹布及份剩余食物中检出株汤卜逊沙门菌,各分离株的生化反应、血清学分型、药敏试验结果基本一致,PFGE结果提示株汤卜逊沙门菌有同源性;位病人双份血清平均抗体滴度有.倍增长.结论:经流行病学调查和微生物学检测分析证实,这是一起因食用被汤卜逊沙门菌污染的牛肉、羊肉而引起的食物中毒事件.",羊肉,羊肉
昆布的临床应用研究进展,"王慧,周康,赵余庆","昆布,化学成分,药理作用,临床用途,开发应用","昆布为药食同源的最常见植物之一.由于其来源广泛,功效显著,受到各国学者的广泛关注.通过查阅整理研究文献,综述了国内外有关昆布临床方面的研究进展,为其进一步的开发利用提供参考.",昆布,昆布
海南黄灯笼椒辣椒素合成酶基因克隆及表达研究,"龙笛笛,成善汉,王玲,李星,申亮,周超,谢丽萍","黄灯笼辣椒,csy基因,表达,辣椒素,CS活性","辣椒素是辣椒果实最重要的品质性状,在食品、医药和工业上都具有重要应用前景,其含量高低决定辣椒辣度大小.辣椒素合成酶(CS)被认为是调控辣椒素合成过程关键酶,此研究根据Genbank已经报道的辣椒素合成酶csy基因序列设计引物,通过RT-PCR法从黄灯笼椒中克隆了一片段csy-h.序列分析表明,csy-h长bp,与数据库报道的csy基因同源性高达%以上,蛋白质同源性达%.表达证实,csy-h在辣椒果实胎座组织表达,且随果实发育表达量先增加后下降.研究CS活性和辣椒素含量发现,随着果实发育,胎座组织CS活性和果实辣椒素、二氢辣椒素含量均呈先上升后下降趋势,前者最高峰值出现在花后天,后者峰值出现在花后天.上述结果暗示,csy基因表达量决定CS活性,后者决定辣椒素和二氢辣椒素的含量.",辣椒,辣椒
沙棘抗氧化性能研究,"ThomasS.C.Li,ThomasH.J.Beveridge,花圣卓,温中平,滕晓萍,王宏昊","沙棘,抗氧化,抗坏血酸,黄酮醇,原花青素,维生素E","沙棘是药食同源的功能植物,果实中含有抗坏血酸、类胡萝卜素、黄酮醇、原花青素等多种抗氧化活性物质,具有抗炎、抗溃疡、抗肿瘤、调节免疫等多种药理作用.本文主要介绍沙棘抗氧化活性物质及其抗氧化性能的研究.",沙棘,沙棘
伤寒与甲型副伤寒沙门菌基因分型与耐药性研究,"徐景野,许国章,金春光,章丹阳,沈玄艺,石优章,林辉,宋启发,胡荣华","伤寒、副伤寒,检测,PFGE分型,药敏,流行研究","目的:通过追溯菌株的流行优势型,了解菌株的耐药性,分析流行因素,为查明宁波地区伤寒、副伤寒疫情回升原因提供科学依据.方法:水产品检测采用GB、PCR和miniVIDAS联合检测方法;病人、从业人员检测采用全国临床操作规程或GB方法;菌株鉴定采用VITEK、ATP方法;药物敏感试验采用K-B纸片扩散法;基因分型采用PFGE方法.结果:从类份海产品中检出株沙门菌,检出率为.%,其中甲型副伤寒沙门菌株,检出率为.%,肠炎等沙门菌株,检出率为.%,伤寒沙门菌株,检出率为.%;住院病人及暴发疫情标本中分离到沙门菌株,其中伤寒沙门菌株,占.%,乙型副伤寒沙门菌株,占.%,甲型副伤寒沙门菌株,占.%;食品、公共场所从业人员检出甲型副伤寒沙门菌株;病人胆汁中分离到甲型副伤寒沙门菌株.株甲型副伤寒沙门菌和株伤寒沙门菌药敏试验显示,大多数菌株对常用多种抗生素均敏感,其中株分离于水产品伤寒沙门菌出现多重耐药.株伤寒沙门菌可分为个PFGE型,株甲型副伤寒沙门菌可分为个PFGE型.结论:宁波地区伤寒、副伤寒疫情回升与食源性有关,同源性试验提示菌株来是同一克隆系的可能性较大,优势流行型为PFGE型,且发现宁波地区副伤寒疫情的流行强度与此型细菌相关.检出的伤寒、副伤寒沙门菌对氧哌嗪青霉素、妥布霉素及头孢哌酮等第代头孢菌素药物显示良好的敏感性,可作为当前预防和治疗的首选药物.伤寒出现多重耐药株,应引起我们的关注.PFGE分型有助于病原的追溯,分析菌株的变迁,为流行病学进一步分析病因提供支持,在确定传播途径等方面具有重要意义.",胆汁,胆汁
肉豆蔻栽培技术及其利用,"冯锦东,吉梦勃","肉豆蔻,栽培技术,利用","肉豆蔻是一种药、食、香料同源的经济植物,雌雄异株,以种子和高空压条繁殖为主.生长适宜温度为～℃,相对湿度%左右,静风环境;在沙壤土上生长良好,种植～年开花结果,第年有少量收获.栽培中在正常管理的基础上做好防风、防寒工作是种植成功的关键.","肉豆蔻, 防风","肉豆蔻, 防风"
赤峰市发展绿色荞麦产业的资源优势及途径,"丁素荣,生国利,王会才,魏云山,张晓荣,刘迎春","绿色,资源,经济,荞麦,产业,赤峰","荞麦集药食同源、绿色健康、抗旱耐瘠、适播期宽多种特性于一身.在防灾减灾和保证粮食安全上,荞麦这一特殊作物,具有其它作物不能替代的特殊功能.而赤峰地区独特的自然资源、区域优势,对发展优质特色荞麦产业极为有利.",荞麦,荞麦
～年山西省保健食品状况调查分析,张文香,"保健食品,分析,功能,剂型","目的介绍～年山西省的保健食品状况,并进行分析.方法依据年月日至年月日卫生部和SFDA的保健食品公告和山西省保健食品注册批件,对经过山西省申报审批的保健食品数与国家批准的国产保健食品数进行比较,并对山西省正常生产的保健食品的功能分布、剂型分布、主要原料及功效成分使用情况进行分析.结果经过调查申报审批的保健食品数为国家批准的国产保健食品总数的%左右;胶囊、片剂、口服液是山西省保健食品的三大主流剂型;保健功能排在首位的是辅助降血脂;保健食品原料中,药食同源名单中使用频次较多的依次是山楂、枸杞子、茯苓;苦荞为山西省保健食品常用的非中药原料;功效成分和/或标志性成分出现频次最多的依次为总黄酮、总皂苷、粗多糖.结论调查发现山西省保健食品业发展缓慢,保健食品剂型以类似药品剂型为主,保健功能和保健食品原料分布不均.","山楂, 枸杞子, 茯苓","山楂, 枸杞子, 茯苓"
牡蛎提取物治疗乙醇性肝病的临床效果,"张博,张翠萍,田字彬,王建军","肝疾病,乙醇性,牡蛎肝宝,治疗结果","目的观察牡蛎提取物(东易牌牡蛎肝宝)对乙醇性肝病的临床疗效.方法将例乙醇性肝病病人随机分为治疗组例和对照组例,分别应用牡蛎肝宝和易善复治疗d.观察两组治疗前后肝功能的恢复情况和症状改善情况,以及血清三酰甘油(TG)、总胆固醇(TC)等的变化.结果治疗组和对照组总有效率分别为.%和.%,两组比较差异无显著性(χ=.,P>.).两组治疗后丙氨酸氨基转移酶(ALT)、天门冬氨酸氨基转移酶(AST)、总胆红素(Tbil)、γ-谷氨酰转移酶(GGT)、TG、TC值较治疗前明显下降(t=.～.,P<.).结论牡蛎肝宝治疗乙醇性肝病效果较好,且为药食同源的食品,安全可靠,无副作用.","牡蛎, 天门冬","牡蛎, 天门冬"
福建长泰砂仁中乙酸龙脑酯含量测定,"陈卫琳,陈红","砂仁,乙酸龙脑酯,含量测定","福建省长泰县所产砂仁为广东产阳春砂AmomumvillosumLour.的变异品种,始载于宋代<开宝本草>,又名阳春砂仁.长泰砂仁具有行气开胃、温脾止泻的功效,为临床常用中药,福建省特色药材之一.当地农民习惯当作药食同源的食物,经常用于胃部不适、消化不良的治疗药物,或直接用于煮肉、煲汤等,或是将采摘的新鲜砂仁用盐水浸泡后当作香料使用.",砂仁,砂仁
不同生长期马齿苋ω-脂肪酸及矿物质元素含量分析,"史仁玖,苗苗,李艳玲,王建美,郝岗平","马齿苋,ω-脂肪酸,矿物质元素,生长阶段","马齿苋(PortulacaoleraceaL.)为马齿苋科一年生肉质草本植物,是我国卫生部划定的药食同源植物之一,具耐盐、耐旱、耐热、对光照要求不严格等生长特性,我国各地均有分布.",马齿苋,马齿苋
山茱萸在食品加工中的应用刍议,"郑战伟,暴同义,胡涛","山茱萸,营养价值,食品加工","山茱萸作为一种中药被广泛应用于中医上,然而山茱萸也是一种药食同源的物料.近年来,随着人们对于保健食品意识的增强,山茱萸的开发被提上议事日程,而且对其开发利用更是迅速.阐述了山茱萸的综合利用现状,对于更加有效地开展山茱萸深加工,形成产业化提出了展望.",山茱萸,山茱萸
韭菜优质丰产高效生产技术模式,"杨宛玉,尹守恒","韭菜,丰产高效,种植户,栽培面积,营养物质,药用价值,调味蔬菜,人民群众,经济收入,投资少,叶肥,项目,味道,收益,食欲,生活,设施,气味,冬春","韭菜叶肥色绿、气味香辛、促进食欲,不仅含有丰富的营养物质,是一种味道鲜美的蔬菜,而且还有很高的药用价值,是食药同源的调味蔬菜.近年来韭菜冬春设施栽培面积迅速扩大,极大地丰富了人民群众的生活,也有效地增加了种植户的经济收入,是一项投资少、省工,省时、收益大种植项目.",韭菜,韭菜
苦菜的人工开发及利用,"张少平,赖正锋,吴水金","苦菜,人工开发,营养,药用","苦菜(败酱草)具有独特的药食同源功效,在闽南等地采食悠久.详述苦菜特点及人工驯化栽培研究,以及其营养价值、食用方法,药用价值.","苦菜, 败酱草","苦菜, 败酱草"
海马保健黄酒发酵工艺的研究,"马荣山,唐声浩,张堃","海马,黄酒,发酵","在传统的黄酒酿造过程中加入经过酶处理的中药材海马并辅以药食同源的植物料枸杞和生姜共同发酵生产出海马保健黄酒.确定最佳发酵工艺条件,原辅料比为糯米:海马:枸杞:生姜为:::,辅料添加时期为冲缸期,酵母添加量为%,发酵温度为℃,发酵期为d.","黄酒, 海马, 枸杞, 生姜, 糯米","黄酒, 海马, 枸杞, 生姜, 糯米"
荠菜提取物在化妆品中的应用,"王建新,刘光荣","荠菜,功能,化妆品",介绍中国传统药食同源植物荠菜(Capscllabursa-pastoris)的植物来源、采用部位、有效成分的种类及其名称、主要有效成分的化学结构、提取加工方法、药理作用和研究、使用安全性、以及在化妆品中的应用.,荠菜,荠菜
香蕉相似穿孔线虫Rs-flp-基因克隆与特征分析,"邢丽梅,茆振川,肖罗,陈国华,杨宇红,谢丙炎","香蕉相似穿孔线虫,神经肽,Rs-flp-,原位杂交,Southern杂交","类FMRF酰胺多肽(FMRFamide-likepeptides,FLPs)在控制寄生性线虫侵染、取食和繁殖过程中起着重要作用.在防治线虫时,FLPs信号系统经常成为药物的作用靶标.本研究以香蕉相似穿孔线虫(Radopholussimilis)为材料,用RT-PCR和RACE方法,获得了类FMRF酰胺多肽flp-基因的cDNA全长序列,命名为Rs-flp-.此基因cDNA序列全长为bp,包括一个bp的开放阅读框(ORF),编码含个氨基酸的蛋白,分子量与等电点分别为.KD和..序列分析表明Rs-flp-编码个FLP肽(xKHEYLRFG),N端具有个氨基酸残基组成的信号肽.Southern杂交显示其为单拷贝基因.cDNA与基因组DNA重叠分析表明基因包含三个内含子,四个外显子.聚类分析表明该基因与猪蛔虫的As-flp-同源,相似度最高(%).原位杂交结果显示Rs-flp-基因表达位置在线虫的神经环部位.本研究结果将为研究该基因功能奠定基础,并为以FLPs为作用靶标的防治线虫药物提供理论依据.",香蕉,香蕉
小议海参在中医男科中的应用——王久源教授经验传薪集,"黄晓朋,姜政,陈海","中医男科病,海参,治疗作用,王久源","通过祖国医学之药食同源及现代营养学与医学之科学分析得出,海参可用来参与治疗中医男科疾病,并举不育(少、弱精证)及勃起功能障碍病说明在合理辨证的情况下加用海参往往能取得事半功倍的效果.",海参,海参
国药泰斗:养生不靠大补,奕茗,,"被中医界尊为""国药泰斗""的金世元先生,是中华中医药学会终身理事.岁的金老大半生都在和药材打交道,像人参、鹿茸等滋补佳品,对他来说自然是近水楼台.虽然和各种名贵药材打了一辈子的交道,但是对于金老来说,倒是有两句话对他的健康起到了非常关键的作用:一句就是""药食同源"":另一句就是""药补不如食补,食补不如动补"".所以,他从不提倡仅仅依靠中药养生.","人参, 鹿茸","人参, 鹿茸"
饮用桑叶茶人群跟踪调查试验,"彭晓虹,黄伍龙,郑蜀云,匡英秋","饮用,桑叶茶,人群,跟踪调查,试验,tea,MulberryLeaf,Test,开发利用价值,抑制癌细胞,资源利用,营养成分,研制,相关机构,现代医学,食品原料,内含成分,面向市场,多种功能,传统中医","桑叶作为""药食""同源植物,内含成分丰富,集功能和营养成分于一身,是一种经传统中医和现代医学证实的天然健康食品原料.具有降血糖、血压及血脂,抗衰老、抗菌、抗病毒和抑制癌细胞等多种功能,开发利用价值很高.近十年来,国内相关机构对桑叶资源的利用进行了研究,取得了许多成果,研制了若干桑叶产品.江两省蚕桑茶叶研究所,于年开始从事桑叶资源利用的研究,现已成功研制出系列桑叶产品,并面向市场.","桑叶, 茶叶","桑叶, 茶叶"
